SEC1 Temperature, SEC2 Temperature, SEC3 Temperature, SEC4 Temperature, SEC1 Pressure, SEC2 Pressure, SEC3 Pressure, SEC4 Pressure, Flow Rate, split ratio, sum of aromatics
504.0, 0.919, 500.0, 0.156, 513.0, 0.857, 530.0, 0.27, 904.0, 0.436, 64791.75303199999
526.0, 0.979, 508.0, 0.062, 500.0, 0.48, 501.0, 0.459, 918.0, 0.405, 62566.756559
536.0, 0.432, 520.0, 0.798, 521.0, 0.769, 538.0, 0.264, 909.0, 0.496, 68951.465165
501.0, 0.674, 535.0, 0.42, 520.0, 0.333, 539.0, 0.237, 904.0, 0.491, 67451.880115
509.0, 0.159, 511.0, 0.841, 535.0, 0.823, 511.0, 1.0, 955.0, 0.526, 72285.78419600001
530.0, 0.588, 527.0, 0.424, 510.0, 0.852, 525.0, 0.616, 990.0, 0.568, 75429.426101
517.0, 0.861, 506.0, 0.965, 536.0, 0.33, 524.0, 0.278, 1049.0, 0.402, 75842.082517
506.0, 0.493, 537.0, 0.878, 506.0, 0.819, 517.0, 0.726, 1061.0, 0.554, 79608.607525
527.0, 0.778, 507.0, 0.122, 534.0, 0.85, 538.0, 0.039, 909.0, 0.467, 64376.161982000005
505.0, 0.14, 520.0, 0.891, 523.0, 0.378, 528.0, 0.48, 981.0, 0.465, 72624.12798199999
514.0, 0.519, 531.0, 0.154, 526.0, 0.003, 527.0, 0.417, 978.0, 0.587, 65182.28419699999
540.0, 0.07, 518.0, 0.459, 514.0, 0.384, 526.0, 0.863, 1043.0, 0.444, 78654.850248
519.0, 0.774, 536.0, 0.345, 521.0, 0.174, 508.0, 0.841, 1057.0, 0.484, 77927.762114
513.0, 0.884, 530.0, 0.016, 502.0, 0.348, 524.0, 0.19, 981.0, 0.566, 64147.752541999995
509.0, 0.186, 508.0, 0.002, 528.0, 0.304, 520.0, 0.686, 967.0, 0.573, 66301.533022
535.0, 0.491, 507.0, 0.041, 538.0, 0.861, 530.0, 0.188, 1076.0, 0.445, 77123.513882
518.0, 0.472, 529.0, 0.669, 507.0, 0.91, 539.0, 0.174, 963.0, 0.428, 71489.358689
515.0, 0.863, 539.0, 0.941, 505.0, 0.329, 525.0, 0.083, 1090.0, 0.517, 76156.198787
509.0, 0.601, 500.0, 0.268, 517.0, 0.846, 530.0, 0.873, 1077.0, 0.476, 80950.231732
523.0, 0.058, 524.0, 0.485, 527.0, 0.012, 520.0, 0.492, 932.0, 0.497, 63068.880106000004
535.0, 0.779, 523.0, 0.663, 500.0, 0.162, 534.0, 0.267, 1054.0, 0.498, 75540.527994
502.0, 0.407, 511.0, 0.593, 530.0, 0.62, 508.0, 0.383, 939.0, 0.583, 69337.38794
512.0, 0.794, 521.0, 0.994, 503.0, 0.711, 505.0, 0.939, 1020.0, 0.562, 75235.321702
504.0, 0.767, 504.0, 0.465, 501.0, 0.962, 525.0, 0.2, 960.0, 0.553, 68459.984041
502.0, 0.078, 532.0, 0.709, 518.0, 0.969, 520.0, 0.712, 979.0, 0.519, 73718.932941
527.0, 0.993, 520.0, 0.079, 507.0, 0.16, 504.0, 0.156, 948.0, 0.402, 59972.779508
509.0, 0.45, 534.0, 0.657, 537.0, 0.214, 513.0, 0.441, 1023.0, 0.551, 75885.46405899999
516.0, 0.546, 506.0, 0.125, 533.0, 0.616, 502.0, 0.298, 1034.0, 0.493, 73246.352669
503.0, 0.511, 516.0, 0.751, 502.0, 0.399, 532.0, 0.371, 943.0, 0.484, 69036.817902
533.0, 0.58, 517.0, 0.946, 520.0, 0.697, 526.0, 0.044, 974.0, 0.441, 70161.477
530.0, 0.09, 524.0, 0.406, 528.0, 0.636, 531.0, 0.92, 944.0, 0.6, 73565.820295
536.0, 0.137, 521.0, 0.846, 511.0, 0.415, 513.0, 0.791, 945.0, 0.479, 70661.79707
521.0, 0.661, 501.0, 0.748, 514.0, 0.207, 507.0, 0.845, 1039.0, 0.599, 75169.715262
506.0, 0.723, 536.0, 0.198, 506.0, 0.694, 510.0, 0.396, 915.0, 0.472, 66816.51198
500.0, 0.791, 523.0, 0.853, 500.0, 0.127, 512.0, 0.563, 912.0, 0.453, 64777.963602
504.0, 0.382, 512.0, 0.589, 524.0, 0.154, 507.0, 0.978, 1037.0, 0.595, 75718.08595499999
504.0, 0.811, 538.0, 0.01, 509.0, 0.456, 540.0, 0.223, 990.0, 0.522, 67434.281678
539.0, 0.006, 537.0, 0.042, 517.0, 0.229, 501.0, 0.672, 904.0, 0.589, 61285.621709
520.0, 0.066, 537.0, 0.661, 515.0, 0.063, 537.0, 0.73, 952.0, 0.455, 70439.04531
511.0, 0.491, 507.0, 0.816, 534.0, 0.135, 537.0, 0.665, 980.0, 0.512, 73273.03132
518.0, 0.208, 511.0, 0.649, 510.0, 0.366, 539.0, 0.493, 1029.0, 0.478, 76689.042868
