SEC1 Temperature, SEC2 Temperature, SEC3 Temperature, SEC4 Temperature, SEC1 Pressure, SEC2 Pressure, SEC3 Pressure, SEC4 Pressure, Flow Rate, split ratio,aromatics yield
518,0.162,529,0.082,510,0.101,540,0.85,1092,0.429,0.64683631
526,0.781,504,0.182,502,0.036,532,0.013,985,0.499,0.494716157
539,0.769,523,0.576,533,0.957,520,0.723,928,0.468,0.688654707
527,0.152,508,0.167,521,0.155,506,0.461,1082,0.584,0.612572299
530,0.712,504,0.797,522,0.526,535,0.424,940,0.458,0.672349826
507,0.655,505,0.276,529,0.485,536,0.445,967,0.477,0.674372305
512,0.368,528,0.299,514,0.44,522,0.421,1019,0.434,0.661347632
518,0.794,525,0.923,530,0.744,526,0.302,905,0.586,0.672005392
521,0.012,518,0.906,540,0.636,509,0.951,1052,0.531,0.664637263
524,0.539,524,0.947,535,0.682,529,0.974,1004,0.444,0.688802662
523,0.479,540,0.114,527,0.783,529,0.893,996,0.511,0.695000499
509,0.419,503,0.047,516,0.532,524,0.423,1097,0.456,0.623457116
521,0.748,506,0.067,538,0.423,510,0.663,1018,0.559,0.654641148
539,0.426,522,0.336,518,0.848,528,0.58,1083,0.55,0.685287951
520,0.73,512,0.613,504,0.176,515,0.564,909,0.493,0.64743117
525,0.635,504,0.466,529,0.729,508,0.003,1098,0.598,0.61667507
500,0.54,500,0.47,532,0.159,532,0.977,994,0.578,0.675430974
530,0.247,523,0.945,517,0.478,522,0.586,1077,0.543,0.670282589
523,0.677,518,0.1,534,0.12,514,0.444,1043,0.444,0.623820521
503,0.692,504,0.822,521,0.192,536,0.545,1037,0.482,0.656433077
512,0.528,510,0.289,503,0.649,513,0.302,1060,0.575,0.633805316
538,0.878,521,0.989,538,0.429,513,0.077,1047,0.517,0.648217473
537,0.089,513,0.376,510,0.121,508,0.626,909,0.452,0.634067914
505,0.127,538,0.985,522,0.365,533,0.409,905,0.571,0.672326929
501,0.58,518,0.306,536,0.976,501,0.548,1033,0.598,0.668651251
519,0.143,502,0.949,515,0.475,512,0.057,1059,0.576,0.597331239
535,0.77,540,0.02,523,0.681,515,0.967,1022,0.57,0.663337173
527,0.307,531,0.179,510,0.135,520,0.391,1017,0.477,0.632448274
521,0.649,502,0.736,502,0.069,521,0.847,1023,0.426,0.638936681
513,0.825,516,0.09,515,0.768,528,0.277,1092,0.544,0.637425889
530,0.996,530,0.577,500,0.973,522,0.862,951,0.524,0.676040429
524,0.183,504,0.825,513,0.006,540,0.032,1057,0.47,0.51842928
515,0.409,518,0.66,511,0.11,518,0.572,1008,0.481,0.642839944
527,0.445,515,0.592,503,0.529,514,0.733,997,0.506,0.66784703
525,0.776,504,0.934,502,0.718,533,0.819,978,0.443,0.670917189
517,0.45,531,0.122,521,0.895,506,0.064,1097,0.412,0.614971332
504,0.347,529,0.102,536,0.302,510,0.351,932,0.462,0.645076461
522,0.353,527,0.582,527,0.4,530,0.609,1031,0.484,0.686693789
536,0.759,502,0.299,531,0.293,530,0.168,986,0.599,0.64659881
510,0.112,505,0.811,540,0.377,517,0.066,986,0.422,0.615692712
508,0.727,509,0.858,523,0.044,502,0.341,1079,0.448,0.591485905
515,0.215,527,0.003,532,0.664,507,0.02,959,0.492,0.531736446
536,0.17,521,0.32,512,0.679,505,0.752,925,0.584,0.675476281
531,0.456,519,0.596,531,0.573,522,0.313,1058,0.596,0.672680714
534,0.576,532,0.23,533,0.304,503,0.258,924,0.558,0.657450558
521,0.264,503,0.415,500,0.637,523,0.974,952,0.57,0.67478842
518,0.977,518,0.158,503,0.238,536,0.712,1064,0.429,0.652482136
509,0.034,540,0.465,508,0.035,537,0.142,921,0.505,0.58590388
540,0.214,532,0.495,522,0.628,520,0.25,1011,0.466,0.67112315
529,0.491,529,0.104,501,0.894,510,0.958,1064,0.578,0.664114313
535,0.123,506,0.186,528,0.997,533,0.881,925,0.433,0.690958269
501,0.812,532,0.7,501,0.98,536,0.87,1091,0.489,0.67767093
500,0.252,514,0.195,535,0.235,535,0.475,1001,0.589,0.669386084
527,0.317,523,0.048,505,0.37,527,0.123,1061,0.478,0.58416534
514,0.33,500,0.135,534,0.043,536,0.451,1063,0.426,0.611326939
538,0.877,514,0.22,515,0.27,502,0.737,1030,0.478,0.646073916
531,0.429,521,0.603,523,0.267,517,0.103,1071,0.454,0.624628031
525,0.901,502,0.758,503,0.589,510,0.158,953,0.45,0.626067028
505,0.58,513,0.055,530,0.944,532,0.358,1026,0.441,0.652840142
533,0.56,508,0.505,530,0.312,538,0.566,990,0.579,0.686715819
521,0.611,529,0.813,505,0.257,521,0.983,902,0.598,0.676386231
524,0.141,511,0.219,528,0.342,538,0.204,1076,0.551,0.644357317
515,0.983,501,0.504,501,0.296,515,0.36,1037,0.555,0.624850189
502,0.965,507,0.735,535,0.512,511,0.497,917,0.497,0.660858695
524,0.165,524,0.247,528,0.188,522,0.398,1025,0.484,0.649987551
515,0.35,539,0.288,521,0.759,540,0.5,1094,0.593,0.69122692
539,0.911,526,0.995,522,0.334,511,0.756,973,0.576,0.668890132
531,0.078,509,0.334,508,0.509,533,0.534,1003,0.462,0.664456796
518,0.993,531,0.522,507,0.76,522,0.631,1054,0.575,0.669826653
529,0.513,532,0.651,515,0.41,535,0.083,1055,0.567,0.644756864
520,0.633,530,0.875,538,0.766,506,0.398,1081,0.525,0.671777137
514,0.45,532,0.521,506,0.737,511,0.712,906,0.566,0.678113662
519,0.064,532,0.523,513,0.67,505,0.56,1089,0.439,0.652032981
509,0.746,508,0.766,502,0.846,512,0.63,997,0.491,0.655591809
503,0.633,531,0.76,501,0.81,527,0.58,1003,0.583,0.671406446
537,0.601,518,0.736,510,0.547,535,0.15,957,0.43,0.656424385
539,0.979,534,0.175,530,0.861,517,0.222,943,0.489,0.665044834
510,0.741,500,0.616,526,0.208,501,0.911,1092,0.459,0.642827726
512,0.59,532,0.4,506,0.973,529,0.658,1074,0.567,0.679230001
523,0.78,511,0.85,512,0.267,511,0.071,1039,0.52,0.604451849
510,0.977,505,0.959,536,0.891,513,0.205,1073,0.441,0.650133237
511,0.969,503,0.252,537,0.869,516,0.639,973,0.505,0.669606382
506,0.373,516,0.779,534,0.631,504,0.259,913,0.427,0.658245078
517,0.862,502,0.33,515,0.689,500,0.894,967,0.44,0.657032834
506,0.854,531,0.232,509,0.285,531,0.276,1086,0.535,0.639092048
512,0.159,514,0.874,538,0.288,529,0.798,980,0.445,0.679000858
513,0.746,540,0.257,528,0.259,540,0.134,1029,0.579,0.651687707
530,0.497,501,0.461,536,0.597,520,0.869,967,0.468,0.688614545
533,0.216,531,0.169,539,0.978,527,0.193,952,0.404,0.677486469
534,0.436,503,0.088,521,0.297,538,0.198,977,0.433,0.63135525
536,0.69,522,0.165,502,0.492,507,0.252,954,0.434,0.628870589
513,0.563,511,0.619,533,0.129,530,0.875,964,0.498,0.675042312
